v,Dd,zend,Ls1,q,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
1.0,5.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,2.78766e-318,-1.1422816330686415e-295,2.9264303964707043e-276,-8.004075255904437e-246,3.2912251727172496e-219,-8.619518952311695e-196,7.735735183419518e-170,-4.735091907530078e-148,3.814341941786778e-124,-1.9703786794262703e-104,4.9978359223401787e-85,-5.999906515643256e-69,5.917219890192476e-55,-3.2629092756784073e-44,4.0719225326230937e-35,-1.298841355406099e-28,3.5405269323595366e-24,-9.207637473695676e-21,5.117992408191552e-18,-3.883470146889939e-16,6.403051635066363e-15,1.2137571555146015e-13,2.4075213723567005e-9,5.4474288458666215e-6,0.0018490923783747721,0.08956716844536458,0.5178230243872096,0.35699208033056373,0.03331525338464085,0.00044705993021341615,8.718146927875587e-7,-7.446275703646757e-10,2.783244541747496e-10,-4.5999354992525866e-11,5.016763429694724e-12,-2.7053701283688215e-13,1.638749217891657e-15,-4.770599052975094e-19,8.634702210145229e-24,-1.1361627975517566e-29,1.1032508746376126e-36,-2.975280544747152e-45,6.008068272199637e-55,-3.5145833474602767e-66,1.3246213968948274e-78,-1.4887829513151788e-92,8.735036635451444e-108,-1.4744634346146287e-124,1.1681576699800353e-142,-2.412475303547891e-162,1.6892642131343937e-183,-2.2078783884140757e-202,8.760610111467788e-220,-9.042935203689551e-239,1.901566781194888e-257,-7.157937490438954e-278,2.6967868822876712e-300
0.0,5.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,8.274199e-317,-8.68902691284329e-294,4.895638047812312e-274,-2.8523946006790045e-243,2.2168274940940235e-216,-1.093373349661681e-192,1.8512520573858346e-166,-2.1566234109947182e-144,3.366533142171842e-120,-3.4665304529318816e-100,1.812408537446536e-80,-4.5744069594669866e-64,9.1796504753549e-50,-8.987241264346885e-39,1.4957802523169165e-29,-4.005889978568268e-23,4.5784199221608295e-19,-1.5816952862825998e-16,1.999199994440646e-14,-1.286260620488063e-12,1.9629966650116903e-11,-8.055698143641978e-11,1.4218675464023312e-7,0.00011250434755457802,0.013227615710538822,0.23149415647640736,0.5666424675743417,0.18084613722545104,0.007631481449318603,4.540390772010064e-5,1.2628791490017236e-7,-4.923065980252013e-8,1.7705390087511004e-8,-4.18502743663274e-9,6.620199829314832e-10,-5.6519077200731654e-11,9.886451827643586e-13,-8.069533054134981e-16,3.3873560238662106e-20,-9.152952030313138e-26,1.7387451922581676e-32,-9.065891600499936e-41,3.5055371537034765e-50,-3.850442303632807e-61,2.6541095148726788e-73,-5.310430191804251e-87,5.415677614638392e-102,-1.5583663440745806e-118,2.073291737658533e-136,-7.109422180722491e-156,8.19621881505315e-177,-1.75263978010954e-195,1.132427913360651e-212,-1.8960109237243926e-231,6.319131104673228e-250,-3.7468302756446435e-270,2.8304635801877994e-292
-1.0,6.0e-8,18.7,7.61,0.45,9.061337192325637e-279,-8.477068850187962e-259,2.2928072894115127e-240,-2.1934536314675072e-223,8.885293628585383e-206,-9.16275816146431e-190,2.826907679742526e-175,-1.3750073885645604e-155,4.24041358996312e-138,-1.4729487749933754e-122,3.5688650935350073e-106,-3.3780324390748174e-92,1.2049754688983797e-77,-1.7179024440686432e-65,6.035929248686623e-54,-2.2289040926228894e-44,3.104877578214187e-36,-5.284482807857835e-30,5.412220992111266e-25,-1.4837908548866244e-21,2.4251324676619317e-19,-1.3502871598605794e-17,8.482588210111922e-16,-2.6011220966564555e-14,6.508112119260914e-12,2.404617156641369e-8,1.7942678121330948e-5,0.0026128010493997817,0.07505460513385395,0.4199903608115056,0.4291729715309592,0.07130300889716425,0.0018399922322653772,8.285578780895675e-6,8.957969857148896e-9,-1.443077795008906e-9,6.867433055031225e-10,-1.921550742656087e-10,2.7014191631369353e-11,-1.2069997305657161e-12,7.887536388035655e-15,-6.480229673551081e-17,4.2061522499261094e-19,-4.3488067155577645e-22,5.786348851209252e-26,-5.910847233333316e-31,6.8547532066965055e-37,-5.812257341013515e-44,5.175021960200371e-52,-3.4087633496814454e-61,2.184956220568281e-71,-1.0374614861267324e-82,4.684915480772491e-95,-1.5229199652335464e-108,4.0864561137040884e-123,-4.597142621252501e-137,1.5503855677631424e-150,-3.850567617550362e-165,7.485757110918716e-180,-9.722776734169737e-196,9.086302374293603e-213
-2.0,6.0e-8,18.7,7.61,0.45,4.829746708708521e-279,-5.0488865199935074e-259,1.492498550558693e-240,-1.5491937639457148e-223,6.794447681552285e-206,-7.585855022233378e-190,2.540220651477511e-175,-1.3482908497721223e-155,4.5767102009608173e-138,-1.7714237273425418e-122,4.860714688893344e-106,-5.31728157624929e-92,2.2450616219393127e-77,-3.8862357024423015e-65,1.695435852941616e-53,-7.858170229108106e-44,1.3553702117828987e-35,-2.7083815719657233e-29,2.9441105137642363e-24,-7.609202105284898e-21,1.0927850021933598e-18,-4.8199736619190506e-17,2.3867785580144824e-15,-4.9296935131098684e-14,1.101284340550046e-10,2.5253993181993993e-7,0.00011236407658069388,0.00972285989945966,0.1639840585531817,0.5227334452264754,0.2826468168234893,0.020616577994279465,0.00018334445181921507,2.761342201705227e-7,8.538996418745678e-9,-7.196205200501022e-9,3.959021096852888e-9,-1.3451493599391556e-9,2.5451865746969715e-10,-2.115690722884974e-11,4.665992378883585e-13,-1.036171119519721e-14,8.567327379782748e-17,-7.970797485491906e-20,8.184017199388548e-24,-6.336849784416354e-29,5.697220535239684e-35,-3.825881778867549e-42,2.7364294544871616e-50,-1.460529169767608e-59,7.614112368213791e-70,-2.9370003281437557e-81,1.0712893144807513e-93,-2.7867936117493384e-107,5.915086679683949e-122,-5.198791419057985e-136,1.353624049075126e-149,-2.568919743725322e-164,3.785436085638075e-179,-3.7059276761879426e-195,2.602364244147664e-212
-3.0,6.0e-8,18.7,7.61,0.45,3.802630064260551e-280,-3.741526179462071e-260,1.052514244268671e-241,-1.058016429603875e-224,4.598560737610278e-207,-5.2251668876179515e-191,1.8327468962351658e-176,-1.0491007450644962e-156,3.9471624517354075e-139,-1.7336174789411984e-123,5.4947504876194e-107,-7.018116007766851e-93,3.470626277913897e-78,-7.009663674141715e-66,3.539157990576768e-54,-1.885073850362735e-44,3.743289210042017e-36,-8.767938629355294e-30,1.1556315270237781e-24,-3.696916996527438e-21,5.987316356638556e-19,-2.6281212663413315e-17,1.2133519796553188e-15,1.991547675270959e-14,4.6076864615412966e-10,8.029013123826303e-7,0.000270963084748513,0.01779815681758998,0.22693024620120572,0.538023741480962,0.20705628920141547,0.009864831522174645,5.494955799803885e-5,-6.007672171538285e-8,1.6970010347459883e-7,-1.563634652610764e-7,9.4545821230932e-8,-3.637184865349498e-8,8.2159695090124e-9,-9.077453348385334e-10,3.0489598166938525e-11,-8.115096289864592e-13,1.205349744483418e-14,-2.290729665154147e-17,4.381080804292683e-21,-5.353268675175259e-26,6.516141447992938e-32,-5.281728075913357e-39,4.1970917786065084e-47,-2.341510039387183e-56,1.2199667977036993e-66,-4.557002169889529e-78,1.5773041826086433e-90,-3.850148705218261e-104,7.63413791510258e-119,-6.268027866354839e-133,1.5283875922989442e-146,-2.7256028441578917e-161,3.7860671541819385e-176,-3.5021413514945065e-192,2.3261952898028736e-209
-4.0,6.0e-8,18.7,7.61,0.45,2.403589451893679e-281,-2.328211411101681e-261,6.51906894512787e-243,-6.5492401344164964e-226,2.8619184064570377e-208,-3.2982472237250555e-192,1.1870835855757921e-177,-7.072525039672495e-158,2.8150650904395917e-140,-1.3311837311028346e-124,4.626201990659998e-108,-6.598451048428877e-94,3.709518646233749e-79,-8.656988351788504e-67,5.1146950251199926e-55,-3.205607287658675e-45,7.445050914276318e-37,-1.9948506542797453e-30,2.8876645277042937e-25,-9.638783619693449e-22,1.6244418932388495e-19,-8.090012156517365e-18,4.89231427643527e-16,1.1570375960119093e-13,1.0313285581763143e-9,1.5335179531024194e-6,0.00044157358465189386,0.024730325863965216,0.26783866779951365,0.5332329906990612,0.16749963488510342,0.006228743623006768,2.6617356472252615e-5,-3.0740744885902183e-7,4.810434974894379e-7,-4.60362306679809e-7,2.9256296714938515e-7,-1.207793366906973e-7,3.0540613475734024e-8,-4.2190103404625004e-9,2.718901114416561e-10,-1.2202811147457366e-11,1.6542766523036424e-13,-2.7133136588149695e-16,4.667677950723367e-20,-5.446871681289759e-25,6.680215000788891e-31,-5.704307228535298e-38,4.959892382877094e-46,-3.128321877183067e-55,1.8941469874230108e-65,-8.403459723053802e-77,3.507695781640034e-89,-1.0408618666613483e-102,2.5104978238748078e-117,-2.4917103461514406e-131,7.256645796365552e-145,-1.52055256572726e-159,2.4349312801410994e-174,-2.54434648220356e-190,1.8707208420448227e-207
-5.0,6.0e-8,18.7,7.61,0.45,9.020731795817703e-283,-9.499851523443206e-263,2.869813841545401e-244,-3.145603407550451e-227,1.5140120457169693e-209,-1.9379315689491508e-193,7.800974932531846e-179,-5.227953379957141e-159,2.3515797292755293e-141,-1.261111900680125e-125,4.977819389190549e-109,-8.045034586453075e-95,5.079685334294395e-80,-1.3077684303650857e-67,8.284719054729312e-56,-5.364461229027091e-46,1.2395513741656663e-37,-3.2433741554469964e-31,4.763953084055606e-26,-1.8609333332613794e-22,4.3392351233096964e-20,-2.9278377600179696e-18,2.2844028734969505e-16,2.60504495881427e-13,1.8659135045316367e-9,2.4656095169164744e-6,0.0006307424083114107,0.03134950798180336,0.3002254699165775,0.5231777627526268,0.14032592087341128,0.004273647411380626,1.494743958337049e-5,-1.444534093243199e-6,2.2190175918645198e-6,-2.2555757083646032e-6,1.5517962513053492e-6,-7.156578169269729e-7,2.1397863851466645e-7,-3.91474230453032e-8,4.101917482490782e-9,-2.42499387347338e-10,3.7627491795579985e-12,-6.371605630847389e-15,9.661767812404348e-19,-8.796608707753076e-24,7.914218045629533e-30,-4.896017604412238e-37,3.138201758726064e-45,-1.5038243050233853e-54,7.138127461471486e-65,-2.549944723254883e-76,8.75282883058735e-89,-2.1720556951973374e-102,4.445380253591641e-117,-3.796059255930318e-131,9.644994157490963e-145,-1.788280224905945e-159,2.57010461666326e-174,-2.4443812539198555e-190,1.658511361220048e-207
-10.0,6.0e-8,18.7,7.61,0.45,6.50484444608415e-286,-6.851011481024119e-266,2.0208290149111967e-247,-2.1193867354802195e-230,9.41876055006385e-213,-1.0729995758930985e-196,3.709346977415239e-182,-2.0658452217745932e-162,7.507531369948969e-145,-3.1829864959428263e-129,9.804403008579217e-113,-1.2354032157579283e-98,6.183162323466457e-84,-1.3165016444900725e-71,7.471991700333868e-60,-4.947478310726667e-50,1.427571677425609e-41,-6.161545349535379e-35,2.1302630418743315e-29,-2.994055455482013e-25,4.281476235682906e-22,-2.358790850774603e-19,1.6378041402250704e-16,2.5507203784508986e-12,1.2128511206367594e-8,1.0931113280821734e-5,0.0019048095861213758,0.06415118478474624,0.40951934855195643,0.4544866965085166,0.06899565776334547,0.000929663032085108,4.298006576920178e-6,-8.318920557554852e-6,1.3604753633459738e-5,-1.5041637987697442e-5,1.1465750353760704e-5,-6.0059344407043875e-6,2.107108749436867e-6,-4.6884205366930605e-7,5.978613872457434e-8,-3.6123087185727015e-9,7.114051850957456e-11,-3.58929192865589e-13,2.5147726876803424e-16,-1.1127956324627307e-20,4.4659414852531874e-26,-1.0802169187639508e-32,2.3504542768674198e-40,-3.3524739619004046e-49,4.230508872550369e-59,-3.659687446995766e-70,2.816448435490783e-82,-1.4677165117947581e-95,5.953789878592488e-110,-9.559663924960708e-124,4.349390100972192e-137,-1.3799760726664151e-151,3.2543657582194355e-166,-4.8866761482321685e-182,5.053594780752232e-199
-50.0,6.0e-8,18.7,7.61,0.45,-6.293606781648768e-300,-1.3493454999580547e-279,2.0894797997238317e-260,-8.574376387530946e-243,1.5738060710636725e-224,-7.864076984066271e-208,1.2719597272327027e-192,-3.5480165550454465e-172,6.93533709380473e-154,-1.7034538209225861e-137,3.281236450123291e-120,-2.792018176677304e-105,1.0161466046793608e-89,-1.681125228124709e-76,7.808557265270716e-64,-4.350812154268958e-53,1.0445413189362255e-43,-3.474254368014693e-36,7.658308260677354e-30,-4.587129694584134e-25,1.1714255263085254e-21,4.3182356302389974e-19,4.133139635444244e-14,4.209617497168974e-10,7.868716210642496e-7,0.00028029456891268134,0.019246777901508912,0.24906225879500932,0.5597523551994963,0.1684854354681232,0.0031711604803148466,8.757423679316183e-7,3.577956217238094e-7,-1.300860733496296e-6,3.178461797800366e-6,-5.5597979867703746e-6,7.23319548490657e-6,-7.17547242867509e-6,5.533346820331549e-6,-3.382782955025108e-6,1.6803169696941559e-6,-6.97554960432947e-7,2.4622667913436867e-7,-7.272796723913703e-8,1.6987505888439012e-8,-2.879635856365023e-9,3.1528341931959334e-10,-1.8141717305064905e-11,2.895111772723036e-13,-2.5047532413561664e-16,1.0676558335067892e-20,-1.6879941881479735e-26,1.3153906524729193e-33,-3.996853179684458e-42,5.6782274975396565e-52,-1.998699659113404e-61,1.2966132219793164e-70,-3.9494115282805924e-81,6.207104885410127e-92,-4.4289994775075314e-104,1.5884630341065254e-117
-100.0,6.0e-8,18.7,7.61,0.45,-1.7176879226475663e-305,4.229405900848489e-285,2.448814238316083e-266,-1.876597042807088e-248,5.880647116489861e-230,-4.7130481229835834e-213,1.1739562614318113e-197,-4.941696892118405e-177,1.4542276065125543e-158,-5.448058222289449e-142,1.6442709593008557e-124,-2.2837786906469443e-109,1.4371346639574638e-93,-4.438988126681558e-80,4.2225018389377817e-67,-5.3035292471709345e-56,3.1251806439622268e-46,-2.729323037927714e-38,1.6550050201132339e-31,-2.7040197337485735e-26,1.7631880416168734e-22,7.882117747052732e-18,3.31726629437768e-13,2.3520196629573904e-9,3.0741175686564087e-6,0.0007712256665936876,0.03753891509993721,0.3430310159451848,0.5245208801671055,0.09348495073945964,0.0006499110860557974,1.0582553753762364e-8,1.0852516196896392e-7,-4.6836495571217135e-7,1.375414282026148e-6,-2.9336556688099842e-6,4.729389398219192e-6,-5.916691237741938e-6,5.862355497033591e-6,-4.695547767084841e-6,3.124094331864927e-6,-1.7948953378481844e-6,9.31229586451788e-7,-4.479154112463538e-7,1.968223175930022e-7,-7.553001335492808e-8,2.4110037944833675e-8,-6.139125794574241e-9,1.1956010521074273e-9,-1.6835229653466176e-10,1.5626623103349084e-11,-7.942875157854302e-13,1.2898147826553111e-14,-9.390887625635612e-18,2.189987960485152e-22,-8.303553086442374e-27,3.797645119507622e-31,-5.4114862616158975e-37,2.684528076788202e-43,-4.163754405700273e-51,2.282593452616341e-60
